home_visits,clinicians_meet_each_other,social_infectivity_multiple_if_symptomatic,iteration,day,n_people_infected,n_clinicians_infected,n_patients_infected,n_family_infected,n_contacts
True,True,0.1,8,39,1377,4,472,901,721110
True,True,0.1,8,40,1377,4,472,901,739600
True,True,0.1,8,41,1377,4,472,901,758090
True,True,0.1,8,42,1377,4,472,901,776580
True,True,0.1,8,43,1377,4,472,901,795070
True,True,0.1,8,44,1377,4,472,901,813560
True,True,0.1,8,45,1377,4,472,901,832050
True,True,0.1,8,46,1377,4,472,901,850540
True,True,0.1,8,47,1377,4,472,901,869030
True,True,0.1,8,48,1377,4,472,901,887520
True,True,0.1,8,49,1377,4,472,901,906010
True,True,0.1,8,50,1377,4,472,901,924500
True,True,0.1,8,51,1377,4,472,901,942990
True,True,0.1,8,52,1377,4,472,901,961480
True,True,0.1,8,53,1377,4,472,901,979970
True,True,0.1,8,54,1377,4,472,901,998460
True,True,0.1,8,55,1377,4,472,901,1016950
True,True,0.1,8,56,1377,4,472,901,1035440
True,True,0.1,8,57,1377,4,472,901,1053930
True,True,0.1,8,58,1377,4,472,901,1072420
True,True,0.1,8,59,1377,4,472,901,1090910
True,True,0.1,8,60,1377,4,472,901,1109400
True,True,0.1,9,1,863,1,284,578,18490
True,True,0.1,9,2,863,1,284,578,36980
True,True,0.1,9,3,863,1,284,578,55470
True,True,0.1,9,4,863,1,284,578,73960
True,True,0.1,9,5,913,1,300,612,92450
True,True,0.1,9,6,961,1,313,647,110940
True,True,0.1,9,7,1004,1,328,675,129430
True,True,0.1,9,8,1063,1,348,714,147920
True,True,0.1,9,9,1114,1,364,749,166410
True,True,0.1,9,10,1155,1,377,777,184900
True,True,0.1,9,11,1201,1,392,808,203390
True,True,0.1,9,12,1206,1,395,810,221880
True,True,0.1,9,13,1212,1,397,814,240370
True,True,0.1,9,14,1218,1,398,819,258860
True,True,0.1,9,15,1221,1,400,820,277350
True,True,0.1,9,16,1229,1,401,827,295840
True,True,0.1,9,17,1236,1,404,831,314330
True,True,0.1,9,18,1240,1,404,835,332820
True,True,0.1,9,19,1244,1,406,837,351310
True,True,0.1,9,20,1246,1,407,838,369800
True,True,0.1,9,21,1250,1,407,842,388290
True,True,0.1,9,22,1251,1,408,842,406780
True,True,0.1,9,23,1251,1,408,842,425270
True,True,0.1,9,24,1251,1,408,842,443760
