appointment_type,clinicians_meet_each_other,behavioural_infectivity_multiple_if_symptomatic,p_baseline_infected,p_external_infection_per_day,n_patients_per_household,iteration,n_patients,n_patients_infected,n_clinicians,n_clinicians_infected,n_family,n_family_infected,n_people,n_people_infected,n_contacts,n_clinician_patient_contacts
home_visit,True,1.0,0.01,0.0,5,10,6000,2709,20,0,8262,4331,14282,7040,4995810,6000
home_visit,True,1.0,0.01,0.0,6,10,6000,4338,20,2,8174,6563,14194,10903,5958480,6000
home_visit,True,1.0,0.01,0.0,7,10,6000,5690,20,6,8130,9189,14150,14886,6941872,6000
home_visit,True,1.0,0.01,0.0,8,10,6000,7028,20,7,8405,10585,14425,17622,8248998,6000
home_visit,True,1.0,0.01,0.0,9,10,6000,9325,20,7,8262,14308,14282,23643,9118011,6000
home_visit,True,1.0,0.01,0.0,10,10,6000,9410,20,4,8082,13542,14102,22956,9882388,6000
home_visit,False,1.0,0.01,0.0,1,10,6000,121,20,1,8130,211,14150,333,840270,6000
home_visit,False,1.0,0.01,0.0,2,10,6000,359,20,1,8405,739,14425,1099,1933690,6000
home_visit,False,1.0,0.01,0.0,3,10,6000,1016,20,0,8262,1954,14282,2970,2921106,6000
home_visit,False,1.0,0.01,0.0,4,10,6000,1807,20,0,8174,3209,14194,5016,3904436,6000
home_visit,False,1.0,0.01,0.0,5,10,6000,3314,20,0,8358,5663,14378,8977,5062770,6000
home_visit,False,1.0,0.01,0.0,6,10,6000,4344,20,4,8405,6933,14425,11281,6125730,6000
home_visit,False,1.0,0.01,0.0,7,10,6000,4932,20,3,8262,7475,14282,12411,7043616,6000
home_visit,False,1.0,0.01,0.0,8,10,6000,7821,20,3,8405,12068,14425,19893,8237980,6000
home_visit,False,1.0,0.01,0.0,9,10,6000,9569,20,5,8174,14647,14194,24222,9014013,6000
home_visit,False,1.0,0.01,0.0,10,10,6000,11186,20,4,8358,17038,14378,28228,10276440,6000
home_visit,True,1.0,0.01,0.0,1,11,6000,151,20,1,8112,375,14132,527,854339,6000
home_visit,True,1.0,0.01,0.0,2,11,6000,358,20,0,8405,805,14425,1163,1945090,6000
home_visit,True,1.0,0.01,0.0,3,11,6000,936,20,1,8270,1659,14290,2596,2929877,6000
home_visit,True,1.0,0.01,0.0,4,11,6000,1684,20,1,8130,2996,14150,4681,3904740,6000
home_visit,True,1.0,0.01,0.0,5,11,6000,2556,20,1,8174,4352,14194,6909,4933077,6000
home_visit,True,1.0,0.01,0.0,6,11,6000,4143,20,4,8174,6571,14194,10718,5958217,6000
home_visit,True,1.0,0.01,0.0,7,11,6000,5408,20,4,8405,8220,14425,13634,7201377,6000
home_visit,True,1.0,0.01,0.0,8,11,6000,6754,20,6,8120,10044,14140,16804,7941236,6000
home_visit,True,1.0,0.01,0.0,9,11,6000,9106,20,1,8262,13726,14282,22833,9118529,6000
home_visit,True,1.0,0.01,0.0,10,11,6000,12137,20,9,8174,18046,14194,30193,10023106,6000
home_visit,False,1.0,0.01,0.0,1,11,6000,127,20,0,8358,246,14378,373,872298,6000
home_visit,False,1.0,0.01,0.0,2,11,6000,420,20,1,8358,816,14378,1237,1918176,6000
home_visit,False,1.0,0.01,0.0,3,11,6000,896,20,1,8112,1655,14132,2552,2855196,6000
home_visit,False,1.0,0.01,0.0,4,11,6000,1615,20,0,8358,2750,14378,4365,4014732,6000
home_visit,False,1.0,0.01,0.0,5,11,6000,2428,20,4,8112,3882,14132,6314,4872300,6000
home_visit,False,1.0,0.01,0.0,6,11,6000,4468,20,2,8112,6950,14132,11421,5872032,6000
home_visit,False,1.0,0.01,0.0,7,11,6000,5896,20,1,8174,8920,14194,14817,6962372,6000
home_visit,False,1.0,0.01,0.0,8,11,6000,7469,20,7,8270,11428,14290,18905,8062480,6000
home_visit,False,1.0,0.01,0.0,9,11,6000,7879,20,6,8278,11812,14298,19697,9125394,6000
home_visit,False,1.0,0.01,0.0,10,11,6000,9989,20,7,8112,14402,14132,24400,9918120,6000
home_visit,True,1.0,0.01,0.0,1,12,6000,114,20,1,8405,205,14425,320,888125,6000
home_visit,True,1.0,0.01,0.0,2,12,6000,349,20,0,8270,762,14290,1111,1900840,6000
home_visit,True,1.0,0.01,0.0,3,12,6000,726,20,1,8174,1435,14194,2162,2898629,6000
home_visit,True,1.0,0.01,0.0,4,12,6000,1719,20,3,8270,2777,14290,4499,3955014,6000
home_visit,True,1.0,0.01,0.0,5,12,6000,3128,20,2,8358,5527,14378,8657,5074037,6000
home_visit,True,1.0,0.01,0.0,6,12,6000,4124,20,3,8120,6673,14140,10801,5910563,6000
home_visit,True,1.0,0.01,0.0,7,12,6000,6585,20,5,8358,10166,14378,16756,7137660,6000
home_visit,True,1.0,0.01,0.0,8,12,6000,7190,20,5,8358,11114,14378,18310,8192051,6000
home_visit,True,1.0,0.01,0.0,9,12,6000,9738,20,5,8120,14759,14140,24504,8933618,6000
home_visit,True,1.0,0.01,0.0,10,12,6000,10082,20,7,8120,14890,14140,24980,9963519,6000
home_visit,False,1.0,0.01,0.0,1,12,6000,116,20,1,8167,235,14187,352,844627,6000
home_visit,False,1.0,0.01,0.0,2,12,6000,329,20,0,8112,709,14132,1038,1843404,6000
home_visit,False,1.0,0.01,0.0,3,12,6000,725,20,0,8202,1225,14222,1950,2896866,6000
home_visit,False,1.0,0.01,0.0,4,12,6000,1818,20,0,8278,3233,14298,5051,3980212,6000
home_visit,False,1.0,0.01,0.0,5,12,6000,2498,20,1,8270,4059,14290,6558,4974610,6000
home_visit,False,1.0,0.01,0.0,6,12,6000,3862,20,1,8270,6155,14290,10018,5994660,6000
home_visit,False,1.0,0.01,0.0,7,12,6000,5138,20,5,8198,7545,14218,12688,6993314,6000
home_visit,False,1.0,0.01,0.0,8,12,6000,6488,20,5,8112,10069,14132,16564,7898556,6000
home_visit,False,1.0,0.01,0.0,9,12,6000,8409,20,6,8167,12516,14187,20931,8990541,6000
home_visit,False,1.0,0.01,0.0,10,12,6000,10002,20,6,8112,14715,14132,24724,9918120,6000
home_visit,True,1.0,0.01,0.0,1,13,6000,129,20,0,8120,282,14140,411,849320,6000
home_visit,True,1.0,0.01,0.0,2,13,6000,408,20,0,8278,841,14298,1249,1915316,6000
home_visit,True,1.0,0.01,0.0,3,13,6000,947,20,1,8120,1761,14140,2709,2879447,6000
home_visit,True,1.0,0.01,0.0,4,13,6000,1676,20,0,8278,2622,14298,4298,3991612,6000
home_visit,True,1.0,0.01,0.0,5,13,6000,2861,20,7,8278,4896,14298,7764,5023995,6000
home_visit,True,1.0,0.01,0.0,6,13,6000,3665,20,2,8167,6018,14187,9685,5958809,6000
home_visit,True,1.0,0.01,0.0,7,13,6000,5863,20,6,8278,9271,14298,15140,7078555,6000
home_visit,True,1.0,0.01,0.0,8,13,6000,8760,20,5,8340,13433,14360,22198,8179954,6000
home_visit,True,1.0,0.01,0.0,9,13,6000,9229,20,8,8270,14046,14290,23285,9122193,6000
home_visit,True,1.0,0.01,0.0,10,13,6000,10269,20,4,8167,14488,14187,24763,10022077,6000
home_visit,False,1.0,0.01,0.0,1,13,6000,105,20,0,8167,207,14187,312,844627,6000
home_visit,False,1.0,0.01,0.0,2,13,6000,313,20,1,8202,646,14222,960,1866144,6000
home_visit,False,1.0,0.01,0.0,3,13,6000,933,20,0,8202,1707,14222,2640,2896866,6000
home_visit,False,1.0,0.01,0.0,4,13,6000,1430,20,1,8202,2374,14222,3805,3916548,6000
home_visit,False,1.0,0.01,0.0,5,13,6000,2763,20,3,8270,4525,14290,7291,4974610,6000
home_visit,False,1.0,0.01,0.0,6,13,6000,3874,20,6,8198,6117,14218,9997,5960628,6000
home_visit,False,1.0,0.01,0.0,7,13,6000,6015,20,4,8198,9895,14218,15914,6993314,6000
home_visit,False,1.0,0.01,0.0,8,13,6000,6924,20,5,8167,10656,14187,17586,7981316,6000
